	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG422	4	4	4	3	4	4	4	3	4	2	4	4	4
OG423	3	3	5	4	4	5	5	3	3	2	4	3	4
OG424	5	7	3	1	4	6	5	2	1	4	2	5	2
OG425	3	3	3	4	3	4	5	3	4	2	4	5	4
OG426	4	4	4	4	3	4	4	3	2	3	4	4	4
OG427	4	7	3	2	3	4	4	2	4	4	3	4	3
OG428	3	4	4	5	4	3	4	3	2	4	4	3	4
OG429	4	5	4	4	3	4	4	4	4	2	3	4	2
OG430	4	4	4	3	3	4	4	3	4	3	3	4	4
OG431	5	5	4	3	3	3	2	3	4	3	4	5	3
OG432	4	4	4	3	3	4	4	4	3	2	4	4	4
OG433	4	15	4	0	2	4	2	3	0	3	1	8	1
OG434	5	4	5	4	1	5	5	2	1	3	2	5	5
OG435	4	4	4	4	4	4	4	3	2	2	4	4	4
OG436	5	14	1	3	2	3	4	2	1	3	3	5	1
OG437	4	4	4	4	3	4	4	2	4	2	4	4	4
OG438	4	4	3	3	4	4	4	3	3	4	4	3	4
OG439	4	3	5	4	4	3	3	1	4	4	4	4	4
OG440	4	4	3	4	4	3	4	4	2	3	4	4	4
OG441	4	3	4	3	4	4	4	4	2	4	4	4	3
OG442	4	3	4	4	3	4	4	4	3	1	5	4	4
OG443	4	4	5	2	3	6	6	2	5	1	3	3	3
OG444	1	9	6	1	4	8	5	1	1	5	1	4	1
OG445	4	4	4	1	5	4	5	4	2	4	3	4	3
OG446	5	4	4	3	3	4	4	4	1	2	4	5	4
OG447	7	5	6	3	1	3	4	3	4	4	2	3	2
OG448	5	9	3	3	4	6	4	3	0	1	3	4	2
OG449	3	6	3	3	4	4	7	1	2	4	4	3	3
OG450	3	15	3	0	1	6	4	4	0	1	1	6	3
OG451	5	5	5	1	2	4	5	3	3	2	4	4	4
OG452	3	4	4	4	4	4	4	4	1	4	3	4	4
OG453	3	4	4	5	4	5	4	2	3	2	3	4	4
OG454	4	4	4	4	4	4	4	4	1	2	4	4	4
OG455	3	7	4	5	5	3	2	5	2	2	1	4	4
OG456	4	4	4	4	5	4	4	3	1	2	4	4	4
OG457	4	5	6	2	4	3	3	5	0	4	6	2	3
OG458	5	5	5	2	2	8	7	1	0	4	1	4	3
